 1  |   1   |     30   |             
 2  |   1   |     0    |             
 3  |   1   |     100  |             
 1  |   2   |     20   |             
 2  |   2   |     0    |             
 3  |   2   |     0    |             
 1  |   3   |     100  |             
 2  |   3   |     150  |             
 3  |   3   |     300  |             
 1  |   4   |       0  |             
 2  |   4   |       0  |             
 3  |   4   |       0  |             
 1  |   5   |     150  |             
 2  |   5   |     350  |             
 3  |   5   |     500  |             
 1  |   6   |     200  |             
 2  |   6   |     550  |             
 3  |   6   |     100  |             
 1  |   7   |       0  |             
 2  |   7   |     750  |             
 3  |   7   |       0  |             
 1  |   8   |     1000 |             
 2  |   8   |     680  |             
 3  |   8   |     200  |       
